IF_adj,diferenca_limite,diferenca_prazo,diferenca_taxa
Cooperativas,10799.080000000002,,
Cooperativas,-6180.3300000000163,,
Cooperativas,216447.69000000003,,
Cooperativas,-67086.609999999971,,
Cooperativas,50010.21,,
Cooperativas,6184.1399999999776,,
Cooperativas,-63718.56,,
Cooperativas,61070.710000000006,-30.0,
Cooperativas,50236.2,-30.0,
Cooperativas,-17608.16,-162.0,
Cooperativas,65785.990000000034,,
Cooperativas,-27362.140000000014,,
Cooperativas,44942.13,,
Cooperativas,-261729.7300000001,,
Cooperativas,8420.9799999999959,,
Cooperativas,-1380.4899999999761,,
Cooperativas,66238.629999999859,,
Cooperativas,-60107.980000000032,,
Cooperativas,33914.399999999994,,
Cooperativas,54330.77,,
Cooperativas,-65813.799999999988,,
Cooperativas,24041.800000000003,16.0,-0.0006686609606297092
Cooperativas,-9919.7099999999955,-30.0,0.018000179710349132
Cooperativas,-277493.21,,
Cooperativas,-27951.379999999976,,
Cooperativas,-32673.059999999998,,
Cooperativas,13936.259999999995,,
Cooperativas,117997.66,,
Cooperativas,-291078.56999999995,,
Cooperativas,-226457.11999999997,,
Cooperativas,-16162.600000000049,,
Cooperativas,229999.0,,
Cooperativas,-86546.28,,
Cooperativas,-140187.15999999992,,
Cooperativas,-73584.109999999986,,
Cooperativas,403307.14999999997,,
Cooperativas,153894.95,,
Cooperativas,4580.4399999999805,,
Cooperativas,119777.15000000001,,
Cooperativas,26353.94,-24.0,0.028102221148250943
Cooperativas,2248.9400000000023,-24.0,-0.0074295778352550593
Cooperativas,153684.58000000002,-18.0,
Cooperativas,-109114.94,-30.0,
Cooperativas,-43358.09,-30.0,
Cooperativas,39416.659999999996,,
Cooperativas,105804.56999999999,,
Cooperativas,79336.87,,
Cooperativas,3848.5,,
Cooperativas,45370.04,,
Cooperativas,-97116.45,,
Cooperativas,10405.08,6.0,
Cooperativas,97199.43,6.0,0.0080009322799531636
Cooperativas,25226.0,-6.0,0.0015323468641723278
Cooperativas,-68975.42,-18.0,
Cooperativas,-129978.08,-30.0,
Cooperativas,-22413.699999999997,-42.0,
Cooperativas,11521.979999999996,-48.0,
Cooperativas,5843.2599999999948,-168.0,
Cooperativas,-247308.74,-162.0,0.030000486792798112
Cooperativas,-52292.47,-162.0,
Cooperativas,-180681.04,,
Cooperativas,108231.03000000003,,
Cooperativas,17449.140000000003,,
Cooperativas,-1731.7700000000041,,
Cooperativas,178269.16999999998,12.0,-0.004191805195889943
Cooperativas,39251.76,0.0,0.021191031883147464
Cooperativas,-17752.81,-24.0,
Cooperativas,-1530.1199999999953,-42.0,
Cooperativas,-94002.44,,
Cooperativas,13220.260000000017,,
Cooperativas,-434.26999999998588,,
Cooperativas,-207470.83,,
Cooperativas,-51385.190000000017,,
Cooperativas,26164.419999999991,,
Cooperativas,-64774.820000000007,,
Cooperativas,111643.93000000001,-6.0,-0.00041229014121832094
Cooperativas,-17411.44,-18.0,0.021264059519712719
Cooperativas,63687.39,-24.0,
Cooperativas,-156631.80999999997,,
Cooperativas,-234315.70999999996,,
Cooperativas,3331.2400000000052,,
Cooperativas,-37614.58,,
Cooperativas,245983.80000000002,,
Cooperativas,-1479.4199999999983,,
Cooperativas,-40894.559999999969,,
Cooperativas,69502.62,,
Cooperativas,18081.650000000009,,
Cooperativas,53624.33,-18.0,
Cooperativas,-7232.7800000000025,-24.0,
Cooperativas,-126268.75,-30.0,0.014812017481236353
Cooperativas,-24784.570000000007,-30.0,
Cooperativas,-112705.03000000006,-42.0,
Cooperativas,-48094.929999999993,-48.0,
Cooperativas,-78617.03,-162.0,
Cooperativas,32437.179999999993,,
Cooperativas,-193292.52000000002,,
Cooperativas,-29629.38,,
Cooperativas,-118389.2399999999,,
Cooperativas,108989.56,,
Cooperativas,68929.16,,
Cooperativas,256103.42,,
Cooperativas,155764.16,-18.0,
Cooperativas,15422.390000000007,-42.0,
Cooperativas,-31484.21,-162.0,
Cooperativas,-195113.86000000002,,
Cooperativas,142120.58000000002,,
Cooperativas,43763.12,,
Cooperativas,54269.279999999984,,
Cooperativas,41480.429999999993,,
Cooperativas,19763.559999999983,,
Cooperativas,48016.439999999973,,
Cooperativas,85263.51999999999,,
Cooperativas,52868.429999999906,,
Cooperativas,76775.689999999988,,
Cooperativas,-150366.76,,
Cooperativas,9462.5399999999863,,
Cooperativas,452031.52,17.0,
Cooperativas,98135.93,-30.0,
Cooperativas,11147.870000000003,-30.0,
Cooperativas,-14810.109999999999,-48.0,0.029407151164618173
Cooperativas,-87112.900000000009,-162.0,
Cooperativas,-32416.939999999944,,
Cooperativas,19359.410000000003,,
Cooperativas,-63393.630000000136,,
Cooperativas,83415.419999999955,,
Cooperativas,63583.64,,
Cooperativas,-31446.840000000007,,
Cooperativas,-71632.169999999984,,
Cooperativas,-3840.6899999999951,,
Cooperativas,19927.380000000019,,
Cooperativas,51333.47,,
Cooperativas,-13810.810000000009,,
Cooperativas,3560.3700000000026,,
Cooperativas,-19723.620000000003,-6.0,
Cooperativas,-25030.639999999985,-30.0,
Cooperativas,-52645.430000000008,-42.0,
Cooperativas,-32271.679999999993,-162.0,
Cooperativas,1530.7999999999956,,
Cooperativas,11908.54,,
Cooperativas,88349.65,,
Cooperativas,143035.29,,
Cooperativas,-5585.2900000000081,,
Cooperativas,-35084.80999999999,,
Cooperativas,107480.54000000001,,
Cooperativas,-42543.749999999985,,
Cooperativas,-4302.2100000000009,,
Cooperativas,-280293.03,-18.0,
Cooperativas,-14072.440000000031,-42.0,
Cooperativas,-78098.250000000029,,
Cooperativas,-98840.539999999979,,
Cooperativas,40342.25999999998,,
Cooperativas,140478.03999999998,,
Cooperativas,-21001.510000000002,,
Cooperativas,-41190.47,,
Cooperativas,37133.16,,
Cooperativas,23585.839999999993,,
Cooperativas,-120496.04999999999,,
Cooperativas,4147.9699999999993,,
Cooperativas,9387.090000000142,,
Cooperativas,77630.430000000008,-18.0,
Cooperativas,148460.87,-30.0,
Cooperativas,-23245.419999999995,-30.0,0.018403805175038104
Cooperativas,-115803.25,-42.0,0.0060090230811955109
Cooperativas,71134.26999999999,-42.0,
Cooperativas,-17781.579999999987,,
Cooperativas,-156045.99999999994,,
Cooperativas,-24538.579999999994,,
Cooperativas,20807.020000000019,,
Cooperativas,-75884.85000000002,,
Cooperativas,-41387.190000000017,,
Cooperativas,-284.86999999997352,,
Cooperativas,6409.9899999999943,,
Cooperativas,-52128.010000000024,,
Cooperativas,-29527.830000000031,,
Cooperativas,71044.829999999987,,
Cooperativas,77991.739999999962,,
Cooperativas,25285.599999999991,,
Cooperativas,48534.3,,
Cooperativas,189520.98,6.0,-0.0073320690012244373
Cooperativas,6614.4599999999991,-6.0,
Cooperativas,40311.22,-30.0,-0.067955446274198736
Cooperativas,-177897.28000000003,-30.0,
Cooperativas,-115057.33,-36.0,
Cooperativas,6228.9100000000035,-162.0,
Cooperativas,11657.419999999998,,
Cooperativas,-28738.080000000009,,
Cooperativas,20914.669999999969,,
Cooperativas,103961.11,,
Cooperativas,8231.07,,
Cooperativas,-98307.270000000019,,
Cooperativas,26783.540000000015,,
Cooperativas,-172028.61000000002,,
Cooperativas,-28834.899999999987,,
Cooperativas,12839.000000000025,,
Cooperativas,-3059.0199999999604,,
Cooperativas,148581.59,,
Cooperativas,121183.48,,
Cooperativas,-59718.48000000001,,
Cooperativas,8232.41,12.0,-0.015178533125756732
Cooperativas,95167.08,-6.0,
Cooperativas,-13255.979999999996,-30.0,
Cooperativas,-164133.72,-42.0,
Cooperativas,103523.91,,
Cooperativas,-5177.5799999999872,,
Cooperativas,427706.24000000005,,
Cooperativas,56496.73000000001,,
Cooperativas,-71515.41,,
Cooperativas,33508.640000000014,,
Cooperativas,-17553.090000000015,,
Cooperativas,-24201.210000000021,,
Cooperativas,1250.2800000000025,,
Cooperativas,193192.34999999998,,
Cooperativas,5216.7699999999995,6.0,0.015409182361607668
Cooperativas,-15065.520000000002,-24.0,0.022419634335652375
Cooperativas,-70790.500000000015,-24.0,
Cooperativas,-186257.84,-42.0,
Cooperativas,-23288.53,,
Cooperativas,35588.540000000008,,
Cooperativas,290388.86000000004,6.0,0.001330226478365417
Cooperativas,2008.6100000000006,-12.0,0.038453934215736889
Cooperativas,4451.0799999999872,,
Cooperativas,-33850.879999999932,,
Cooperativas,24410.799999999974,,
Cooperativas,22277.810000000019,,
Cooperativas,-50393.939999999915,,
Cooperativas,27553.620000000003,,
Cooperativas,31557.760000000002,,
Cooperativas,-18387.14,,
Cooperativas,15907.240000000005,,
Cooperativas,-52148.84,,
Cooperativas,116458.16,,
Cooperativas,10601.77,15.0,0.0065905562742561014
Cooperativas,4334.85,0.0,
Cooperativas,-85564.05,-18.0,0.01288043885821373
Cooperativas,33873.11,-18.0,
Cooperativas,6381.43,-30.0,
Cooperativas,98773.98000000001,-162.0,
Cooperativas,-144339.77000000002,,
Cooperativas,192127.28000000003,,
Cooperativas,-92318.37,,
Cooperativas,49059.359999999957,,
Cooperativas,-114818.52999999997,,
Cooperativas,-75662.5,,
Cooperativas,-13133.839999999975,,
Cooperativas,-36023.84,,
Cooperativas,204766.47999999998,,
Cooperativas,26732.820000000036,,
Cooperativas,9067.0,6.0,-0.026988253553340925
Cooperativas,-30253.669999999991,-18.0,
Cooperativas,144934.85,-18.0,
Cooperativas,-176956.83999999997,-30.0,0.014881071107057005
Cooperativas,48528.709999999992,-30.0,0.012364227198252434
Cooperativas,126298.63999999998,-162.0,0.0060698977960796582
Cooperativas,-15526.849999999999,-162.0,
Cooperativas,46390.219999999987,,
Cooperativas,86256.169999999984,,
Cooperativas,-20864.920000000006,,
Cooperativas,37653.829999999973,,
Cooperativas,71720.060000000056,,
Cooperativas,-25839.940000000002,,
Cooperativas,22724.340000000026,,
Cooperativas,-114912.91999999998,,
Cooperativas,-14266.290000000008,,
Cooperativas,-46015.37,,
Cooperativas,19759.32,6.0,-0.024162951428003544
Cooperativas,42191.72,-6.0,-0.000883850210027716
Cooperativas,5148.6300000000047,-6.0,0.0086397544992173544
Cooperativas,62966.540000000008,-6.0,-0.0023806788800248557
Cooperativas,109142.19999999998,-6.0,
Cooperativas,328042.72,-30.0,
Cooperativas,-98201.51,-36.0,
Cooperativas,-100397.20999999999,,
Cooperativas,77250.610000000015,,
Cooperativas,-91395.909999999989,,
Cooperativas,7421.7999999999884,,
Cooperativas,-1221.8500000000076,,
Cooperativas,107964.59000000001,,
Cooperativas,51355.779999999984,,
Cooperativas,-6220.5500000000175,,
Cooperativas,-9625.11999999999,,
Cooperativas,-159764.82999999984,,
Cooperativas,43200.72,17.0,
Cooperativas,-45340.930000000008,-6.0,0.022143975298388366
Cooperativas,7630.0300000000061,-36.0,
Cooperativas,12535.509999999995,-42.0,
Cooperativas,-61951.67,-48.0,
Cooperativas,-25761.65,-48.0,
Cooperativas,28054.98000000001,,
Cooperativas,-91245.649999999965,,
Cooperativas,-393914.21999999974,,
Cooperativas,56362.25,,
Cooperativas,41484.249999999971,,
Cooperativas,-24746.930000000008,,
Cooperativas,-11667.510000000002,,
Cooperativas,-85851.000000000029,,
Cooperativas,95101.509999999951,,
Cooperativas,27630.120000000003,9.0,
Cooperativas,42566.59,-6.0,
Cooperativas,14101.949999999997,-18.0,0.0030619875324203322
Cooperativas,67673.680000000008,-42.0,
Cooperativas,-20959.55,-48.0,
Cooperativas,-121848.07,-162.0,
Cooperativas,-57623.400000000009,-168.0,0.047401505669171715
Cooperativas,-5865.7100000000137,,
Cooperativas,28589.89,,
Cooperativas,71262.35,,
Cooperativas,2031.4999999999891,,
Cooperativas,-34163.83,,
Cooperativas,-160175.37000000002,,
Cooperativas,390744.68,,
Cooperativas,31679.22,,
Cooperativas,7534.449999999968,,
Cooperativas,132121.78000000003,,
Cooperativas,11489.71,-6.0,0.013669978042884796
Cooperativas,100745.39000000001,-12.0,0.024385702669738558
Cooperativas,9114.8300000000017,-6.0,
Cooperativas,-130720.40999999999,-30.0,
Cooperativas,135301.84,-42.0,
Cooperativas,8497.3600000000151,-42.0,
Cooperativas,-482730.97,-162.0,
Cooperativas,-9523.8399999999929,,
Cooperativas,332.18999999999778,,
Cooperativas,95637.72,,
Cooperativas,17488.39,,
Cooperativas,190226.58999999997,,
Cooperativas,20905.839999999997,,
Cooperativas,50492.040000000037,,
Cooperativas,2142.64,,
Cooperativas,-132537.76,,
Cooperativas,3189.1899999999732,,
Cooperativas,-5937.7599999999511,,
Cooperativas,19243.11,,
Cooperativas,-38616.110000000015,,
Cooperativas,45714.89,-6.0,0.010252050700948621
Cooperativas,138501.03,-42.0,
Cooperativas,133299.13,,
Cooperativas,34676.479999999996,,
Cooperativas,-8816.6099999999969,,
Cooperativas,-60562.939999999988,,
Cooperativas,6360.6900000000023,,
Cooperativas,-37851.330000000016,,
Cooperativas,46244.78,,
Cooperativas,15103.929999999998,-6.0,0.0057081907441040719
Cooperativas,292992.97000000003,-18.0,0.0041564716238894
Cooperativas,27730.190000000002,-30.0,0.011550249257712562
Cooperativas,17252.85,,
Cooperativas,413911.83999999997,,
Cooperativas,-279356.43000000017,,
Cooperativas,-172951.55000000002,,
Cooperativas,5852.3199999999779,,
Cooperativas,-24385.310000000005,,
Cooperativas,90876.420000000013,,
Cooperativas,20104.97000000003,,
Cooperativas,216394.68,-6.0,
Cooperativas,25418.600000000006,-30.0,0.0049025647163425008
Cooperativas,224333.03,,
Cooperativas,116109.94999999998,,
Cooperativas,46784.650000000009,,
Cooperativas,-144797.73000000004,,
Cooperativas,70796.5,,
Cooperativas,113529.81999999999,,
Cooperativas,700.83999999989464,,
Cooperativas,-48521.400000000052,,
Cooperativas,-109865.21000000002,,
Cooperativas,-214624.34999999998,-36.0,
Cooperativas,-127990.48999999996,-42.0,
Cooperativas,-104798.71999999999,,
Cooperativas,191940.19,,
Cooperativas,-80935.379999999976,,
Cooperativas,128250.34999999998,,
Cooperativas,59435.63,,
Cooperativas,-26887.990000000038,,
Cooperativas,-12651.809999999998,,
Cooperativas,-16904.33,,
Cooperativas,6813.880000000001,,
Cooperativas,69383.35,-6.0,
Cooperativas,-35131.619999999995,-42.0,
Cooperativas,344663.54000000004,-156.0,0.012151632447748268
Cooperativas,-8532.6699999999546,,
Cooperativas,134206.57,,
Cooperativas,-20404.280000000017,,
Cooperativas,-25801.029999999973,,
Cooperativas,29401.570000000007,,
Cooperativas,26393.369999999981,,
Cooperativas,-114810.53,,
Cooperativas,69947.180000000022,,
Cooperativas,120539.47,,
Cooperativas,39162.11,22.0,
Cooperativas,-26075.62,0.0,
Cooperativas,7187.3899999999994,-18.0,
Cooperativas,-93237.859999999986,-30.0,
Cooperativas,-126914.51000000007,,
Cooperativas,-22435.880000000008,,
Cooperativas,-16718.929999999993,,
Cooperativas,-12889.609999999997,,
Cooperativas,-321.20999999999731,,
Cooperativas,137493.9,,
Cooperativas,-177454.57000000007,,
Cooperativas,-8628.2199999999975,6.0,
Cooperativas,98565.7,0.0,
Cooperativas,1449.8399999999965,,
Cooperativas,7980.4700000000048,,
Cooperativas,231310.68,,
Cooperativas,36449.550000000017,,
Cooperativas,-11569.389999999985,,
Cooperativas,-41504.770000000004,,
Cooperativas,-66962.149999999965,,
Cooperativas,-32913.759999999995,-18.0,
Cooperativas,-74873.920000000013,,
Cooperativas,4601.7799999998242,,
Cooperativas,-22259.940000000039,,
Cooperativas,-1714.0999999999694,,
Cooperativas,100295.66999999998,,
Cooperativas,8806.4399999999987,,
Cooperativas,44049.53,,
Cooperativas,-65408.959999999985,,
Cooperativas,15494.039999999997,-6.0,0.026918992556970896
Cooperativas,29285.780000000013,-18.0,
Cooperativas,177921.63,-30.0,
Cooperativas,-42897.590000000011,-42.0,-0.064269940532931308
Cooperativas,35376.85,,
Cooperativas,-35882.590000000011,,
Cooperativas,204863.55000000002,,
Cooperativas,104607.06,,
Cooperativas,59015.040000000008,,
Cooperativas,71645.87000000001,,
Cooperativas,122911.24000000002,,
Cooperativas,-93894.589999999967,,
Cooperativas,41903.040000000008,,
Cooperativas,-191444.91999999998,,
Cooperativas,-21540.990000000023,,
Cooperativas,-111915.56,,
Cooperativas,39831.250000000015,,
Cooperativas,-69452.18,,
Cooperativas,8420.14,6.0,
Cooperativas,154950.9,-18.0,0.0054615350144620808
Cooperativas,-23211.169999999995,-30.0,
Cooperativas,-63907.560000000005,-36.0,
Cooperativas,43159.69,-30.0,
Cooperativas,-125924.48,-42.0,
Cooperativas,93117.339999999967,,
Cooperativas,128727.82,,
Cooperativas,9301.21,,
Cooperativas,-174024.15000000002,,
Cooperativas,103041.19,,
Cooperativas,-39789.810000000005,,
Cooperativas,-30604.409999999974,,
Cooperativas,-27533.359999999993,,
Cooperativas,2054.6899999999769,,
Cooperativas,-1310.339999999982,,
Cooperativas,129954.14000000001,,
Cooperativas,55688.009999999951,,
Cooperativas,4673.6700000000019,6.0,0.018052287799412543
Cooperativas,93646.9,-6.0,0.0098809311669251984
Cooperativas,-183107.65000000002,-24.0,
Cooperativas,31584.58,-18.0,
Cooperativas,-70397.12,-162.0,
Cooperativas,105432.04999999996,,
Cooperativas,-8710.2800000000025,,
Cooperativas,15150.269999999997,,
Cooperativas,-7470.5600000000013,,
Cooperativas,-229489.52999999997,,
Cooperativas,12894.48,,
Cooperativas,-265.52000000000044,-12.0,
Cooperativas,38108.26999999999,,
Cooperativas,-41676.959999999963,,
Cooperativas,-10685.77999999997,,
Cooperativas,119437.43000000005,,
Cooperativas,15528.400000000009,,
Cooperativas,-85826.790000000008,,
Cooperativas,7838.7799999999952,,
Cooperativas,-375039.6399999999,,
Cooperativas,-53184.629999999917,,
Cooperativas,-61714.60000000002,,
Cooperativas,34932.760000000053,,
Cooperativas,-39198.380000000026,,
Cooperativas,-33473.080000000016,,
Cooperativas,-57589.239999999969,,
Cooperativas,-15625.509999999995,,
Cooperativas,-29582.65,,
Cooperativas,26269.429999999978,,
Cooperativas,27691.00999999998,,
Cooperativas,-168964.56,,
Cooperativas,98636.5,,
Cooperativas,-208991.78,,
Cooperativas,-2206.4099999999889,-30.0,
Cooperativas,-69655.530000000013,-36.0,
Cooperativas,32966.570000000007,-30.0,
Cooperativas,40675.340000000004,-30.0,0.020408114010697267
Cooperativas,-167297.31000000006,-42.0,0.011604831306241976
Cooperativas,1369.6899999999978,,
Cooperativas,39369.640000000029,,
Cooperativas,172839.07,,
Cooperativas,40288.690000000061,,
Cooperativas,12008.48000000001,,
Cooperativas,27917.769999999982,,
Cooperativas,38359.009999999995,,
Cooperativas,158288.26,,
Cooperativas,113745.39,,
Cooperativas,-97581.01999999996,,
Cooperativas,-33534.569999999949,,
Cooperativas,5983.4999999999709,,
Cooperativas,-46490.159999999996,,
Cooperativas,15634.879999999997,,
Cooperativas,-11403.069999999978,,
Cooperativas,-21864.280000000006,,
Cooperativas,-257233.1,-18.0,
Cooperativas,43427.929999999993,-30.0,
Cooperativas,-41115.9,-36.0,
Cooperativas,-85599.56,-42.0,
Cooperativas,23491.290000000008,-42.0,
Cooperativas,34070.29,-42.0,
Cooperativas,86937.5,,
Cooperativas,-103571.49000000003,,
Cooperativas,57439.06,,
Cooperativas,14148.239999999998,,
Cooperativas,-117994.34999999993,,
Cooperativas,72958.220000000016,-18.0,
Cooperativas,-16464.12,-36.0,
Cooperativas,141970.90999999997,,
Cooperativas,-57994.639999999992,,
Cooperativas,125870.68,,
Cooperativas,37650.180000000008,,
Cooperativas,169957.55,,
Cooperativas,-195317.93999999997,,
Cooperativas,-279398.58,,
Cooperativas,24402.89999999998,,
Cooperativas,18445.6,,
Cooperativas,92866.47,6.0,-0.012726074163100867
Cooperativas,-25587.130000000005,-42.0,
Cooperativas,-136077.44,-48.0,
Cooperativas,-6668.760000000002,,
Cooperativas,-96212.650000000009,,
Cooperativas,-3453.0299999999988,,
Cooperativas,-35209.489999999962,,
Cooperativas,81023.270000000019,,
Cooperativas,57178.630000000034,,
Cooperativas,394200.95999999996,,
Cooperativas,-2878.8099999999995,,
Cooperativas,-14863.009999999915,,
Cooperativas,-19003.500000000007,,
Cooperativas,88476.860000000015,,
Cooperativas,86778.37000000001,,
Cooperativas,107428.84000000001,,
Cooperativas,-768.27000000000044,,
Cooperativas,22202.569999999978,,
Cooperativas,29902.120000000003,,
Cooperativas,2702.09,-12.0,
Cooperativas,-88971.599999999991,-42.0,
Cooperativas,71155.309999999983,-48.0,
Cooperativas,347567.13,-162.0,
Cooperativas,348792.81,-162.0,
Cooperativas,10290.379999999997,,
Cooperativas,167599.44,,
Cooperativas,-210022.19999999995,,
Cooperativas,-46884.640000000014,,
Cooperativas,11295.77,,
Cooperativas,-76536.829999999987,,
Cooperativas,-56449.47000000003,,
Cooperativas,73286.510000000009,,
Cooperativas,-2603.1900000000005,9.0,0.016092701776441343
Cooperativas,22070.53,0.0,
Cooperativas,-96969.01999999999,-30.0,
Cooperativas,68614.180000000022,,
Cooperativas,5886.8800000000047,,
Cooperativas,-88637.12999999999,,
Cooperativas,-20223.300000000003,,
Cooperativas,-52357.079999999929,,
Cooperativas,55620.170000000006,,
Cooperativas,120107.29000000004,,
Cooperativas,-12196.459999999963,,
Cooperativas,-56083.949999999961,,
Cooperativas,13659.08,-12.0,0.033480426057425128
Cooperativas,-31816.53,-30.0,0.0075998629798017178
Cooperativas,-59969.369999999995,-36.0,
Cooperativas,-53909.329999999987,-42.0,
Cooperativas,430006.89,,
Cooperativas,235070.32000000007,,
Cooperativas,-10252.180000000015,,
Cooperativas,8820.6000000000022,,
Cooperativas,-118996.81000000001,,
Cooperativas,-56099.860000000044,,
Cooperativas,-302165.31000000006,,
Cooperativas,132268.41000000003,,
Cooperativas,-334920.77,,
Cooperativas,32136.689999999988,,
Cooperativas,40213.239999999991,,
Cooperativas,13619.230000000003,,
Cooperativas,324449.09,,
Cooperativas,-2081.9999999999964,,
Cooperativas,-4810.25,,
Cooperativas,20401.189999999995,,
Cooperativas,32083.86000000003,,
Cooperativas,-114704.49999999997,,
Cooperativas,114068.26000000007,,
Cooperativas,3378.9699999999939,,
Cooperativas,77451.87000000001,,
Cooperativas,134924.75,,
Cooperativas,61689.869999999995,,
Cooperativas,-50490.519999999982,,
Cooperativas,-34401.850000000013,,
Cooperativas,23567.059999999998,,
Cooperativas,-10346.38,,
Cooperativas,-37691.659999999982,,
Cooperativas,36677.85,,
Cooperativas,463749.07999999996,12.0,0.015802132239187437
Cooperativas,1773.9599999999991,-18.0,0.01638560403680607
Cooperativas,-39524.050000000017,-30.0,0.013884120403662902
Cooperativas,-95030.289999999979,-30.0,0.016938650599240341
Cooperativas,11107.199999999997,-30.0,0.0144021956704274
Cooperativas,96398.510000000009,-30.0,0.0015730146457699386
Cooperativas,146704.23,-42.0,
Cooperativas,-1780.2799999999988,-42.0,0.025142545342760683
Cooperativas,159034.00999999998,,
Cooperativas,-108005.12999999999,,
Cooperativas,-164742.72999999998,,
Cooperativas,-11012.040000000003,,
Cooperativas,74812.849999999991,,
Cooperativas,89292.06,,
Cooperativas,-33050.680000000051,,
Cooperativas,7138.010000000002,,
Cooperativas,-122112.35999999999,,
Cooperativas,-76014.02999999997,,
Cooperativas,-5256.7000000000007,-12.0,
Cooperativas,-31386.3,-30.0,
Cooperativas,-16633.73,-30.0,
Cooperativas,-93772.969999999987,-162.0,
Cooperativas,60509.95,,
Cooperativas,-63923.880000000019,,
Cooperativas,-44392.69000000001,,
Cooperativas,59455.429999999993,,
Cooperativas,-28857.750000000022,,
Cooperativas,-48681.19,,
Cooperativas,-5736.2000000000007,,
Cooperativas,2175.340000000002,,
Cooperativas,-406358.81999999995,,
Cooperativas,239126.26000000004,,
Cooperativas,368322.43,-30.0,-0.0735050944142486
Cooperativas,-4942.7999999999993,-36.0,
Cooperativas,-17303.750000000029,-42.0,
Cooperativas,-111990.66999999997,,
Cooperativas,-43371.31,,
Cooperativas,108033.32999999999,,
Cooperativas,-476595.31999999989,,
Cooperativas,46954.94,,
Cooperativas,72703.819999999992,,
Cooperativas,-52848.260000000017,,
Cooperativas,276293.45999999996,,
Cooperativas,87937.290000000008,,
Cooperativas,-96010.50999999998,,
Cooperativas,-38364.73000000001,,
Cooperativas,-53046.839999999924,,
Cooperativas,37001.5,-6.0,
Cooperativas,-1012.4200000000019,-24.0,0.021687785752393107
Cooperativas,33142.149999999994,-24.0,0.051592757049568047
Cooperativas,35414.22,-48.0,0.0092971990464839269
Cooperativas,-55500.999999999978,,
Cooperativas,-62020.740000000013,,
Cooperativas,-27440.660000000011,,
Cooperativas,-30938.12,,
Cooperativas,-25565.329999999994,,
Cooperativas,12673.640000000007,,
Cooperativas,-7876.1800000000148,,
Cooperativas,289752.49,16.0,-0.0048000630817509951
Cooperativas,62134.23000000001,-6.0,
Cooperativas,-99823.819999999992,-30.0,
Cooperativas,68411.68,-30.0,
Cooperativas,-43246.94999999999,-162.0,
Cooperativas,17043.549999999988,,
Cooperativas,-89901.359999999957,,
Cooperativas,282646.69,,
Cooperativas,793.54000000000087,,
Cooperativas,-15072.230000000003,,
Cooperativas,-190793.66000000003,,
Cooperativas,-263717.03000000009,,
Cooperativas,70605.22,6.0,
Cooperativas,-78717.939999999988,-6.0,
Cooperativas,76217.22,-6.0,
Cooperativas,-16619.270000000004,-18.0,0.01473789331117932
Cooperativas,120820.26000000001,,
Cooperativas,2773.6700000000055,,
Cooperativas,-75197.420000000013,,
Cooperativas,-66107.0,,
Cooperativas,9432.2699999999968,,
Cooperativas,-74556.67,,
Cooperativas,17250.440000000002,,
Cooperativas,42639.83,6.0,-0.05307562339780944
Cooperativas,-15925.92,-12.0,
Cooperativas,27090.089999999997,-18.0,
Cooperativas,-43068.939999999995,-36.0,
Cooperativas,-49960.58,,
Cooperativas,-38885.060000000019,,
Cooperativas,53769.459999999992,,
Cooperativas,91023.1,,
Cooperativas,243028.52,,
Cooperativas,-79650.88,,
Cooperativas,-24785.029999999952,,
Cooperativas,24468.55999999999,,
Cooperativas,36274.479999999996,,
Cooperativas,-99961.799999999988,,
Cooperativas,3374.1900000000005,,
Cooperativas,-315355.18000000011,,
Cooperativas,96613.12,6.0,-0.023933840479483638
Cooperativas,4955.1500000000015,-18.0,0.010374230714522661
Cooperativas,-146838.38999999998,-24.0,
Cooperativas,-27206.7,,
Cooperativas,-31445.190000000017,,
Cooperativas,-29209.440000000017,,
Cooperativas,50732.42,,
Cooperativas,131531.33,,
Cooperativas,4351.1799999999494,,
Cooperativas,33667.369999999995,,
Cooperativas,-149118.75000000009,,
Cooperativas,-40398.409999999996,,
Cooperativas,19983.94,-6.0,
Cooperativas,59504.1,-18.0,
Cooperativas,24595.540000000008,-30.0,
Cooperativas,10847.750000000007,-30.0,
Cooperativas,-43617.790000000008,-162.0,
Cooperativas,-30298.350000000006,,
Cooperativas,-51300.200000000026,,
Cooperativas,34106.640000000029,,
Cooperativas,15707.489999999994,,
Cooperativas,-319170.77,,
Cooperativas,-99993.299999999959,,
Cooperativas,7074.8899999999994,,
Cooperativas,60809.62,,
Cooperativas,67320.799999999988,,
Cooperativas,74636.96,,
Cooperativas,-17236.33,,
Cooperativas,4202.42,-18.0,0.0077927555085777964
Cooperativas,33548.01999999999,,
Cooperativas,37450.07,,
Cooperativas,-72286.44,,
Cooperativas,-60470.22999999996,,
Cooperativas,-6370.99,,
Cooperativas,12811.189999999995,,
Cooperativas,91646.930000000008,0.0,
Cooperativas,-83722.58,-18.0,
Cooperativas,-135878.37,-18.0,
Cooperativas,-12471.689999999999,-36.0,
Cooperativas,-155005.30999999997,,
Cooperativas,-170042.12999999992,,
Cooperativas,144249.21999999997,,
Cooperativas,-24644.729999999996,,
Cooperativas,-32001.509999999995,,
Cooperativas,-80955.77999999997,,
Cooperativas,28106.950000000004,,
Cooperativas,-57955.889999999985,,
Cooperativas,-5957.4599999999991,-6.0,
