IF_adj,diferenca_limite,diferenca_prazo,diferenca_taxa
Banco do Brasil,-167166.24000000008,,
Banco do Brasil,-29049.590000000007,,
Banco do Brasil,169328.03,,
Banco do Brasil,-19624.329999999987,,
Banco do Brasil,131801.59,6.0,
Banco do Brasil,53122.98000000001,-6.0,0.0055989662525939635
Banco do Brasil,-123493.99000000002,-48.0,
Banco do Brasil,90793.01,,
Banco do Brasil,34765.950000000004,,
Banco do Brasil,162476.94,,
Banco do Brasil,98982.72,,
Banco do Brasil,45897.419999999984,,
Banco do Brasil,-242813.12,-30.0,0.01504213628063969
Banco do Brasil,10130.209999999992,,
Banco do Brasil,-51202.099999999977,,
Banco do Brasil,29655.58,-30.0,
Banco do Brasil,-144287.79,-48.0,
Banco do Brasil,-15636.19000000001,,
Banco do Brasil,-5879.9700000000012,,
Banco do Brasil,-23770.310000000012,,
Banco do Brasil,-15513.660000000007,,
Banco do Brasil,129866.41,,
Banco do Brasil,36932.280000000006,,
Banco do Brasil,41780.179999999993,,
Banco do Brasil,-220787.8,,
Banco do Brasil,-39670.259999999966,,
Banco do Brasil,-8400.660000000018,,
Banco do Brasil,-55038.950000000004,,
Banco do Brasil,-18269.269999999997,-24.0,
Banco do Brasil,54277.72,,
Banco do Brasil,-101747.63999999993,,
Banco do Brasil,17264.859999999997,,
Banco do Brasil,-1586.3500000000058,-42.0,
Banco do Brasil,122666.88,,
Banco do Brasil,-54924.560000000005,,
Banco do Brasil,112880.47,,
Banco do Brasil,-210484.58999999944,,
Banco do Brasil,205335.45000000004,,
Banco do Brasil,-57736.279999999984,,
Banco do Brasil,313323.37999999995,,
Banco do Brasil,143891.65000000002,-6.0,
Banco do Brasil,87071.76999999999,,
Banco do Brasil,87171.359999999986,,
Banco do Brasil,-239.5399999999936,-36.0,
Banco do Brasil,-56737.710000000014,,
Banco do Brasil,59804.570000000007,,
Banco do Brasil,-71801.670000000071,,
Banco do Brasil,27709.640000000014,,
Banco do Brasil,62624.869999999995,-12.0,0.0430143698942012
Banco do Brasil,-63071.609999999986,-30.0,
Banco do Brasil,11349.009999999998,-36.0,
Banco do Brasil,216783.69,-162.0,
Banco do Brasil,26634.590000000026,,
Banco do Brasil,-90758.66,,
Banco do Brasil,-36098.419999999955,,
Banco do Brasil,174023.99000000002,,
Banco do Brasil,229211.81000000017,,
Banco do Brasil,-16806.660000000018,,
Banco do Brasil,-33936.81,,
Banco do Brasil,17899.98,,
Banco do Brasil,-147804.31000000035,,
Banco do Brasil,-62924.810000000005,,
Banco do Brasil,-63571.969999999827,,
Banco do Brasil,17666.499999999884,,
Banco do Brasil,-112980.20000000004,,
Banco do Brasil,177427.90999999997,17.0,
Banco do Brasil,60630.69,-18.0,
Banco do Brasil,-88500.88,-48.0,
Banco do Brasil,35221.64,,
Banco do Brasil,-112088.13999999998,,
Banco do Brasil,8782.950000000008,,
Banco do Brasil,-19012.96000000001,,
Banco do Brasil,61663.840000000026,,
Banco do Brasil,-394334.1399999999,,
Banco do Brasil,-78498.279999999955,,
Banco do Brasil,11485.369999999981,,
Banco do Brasil,2158.3299999999581,,
Banco do Brasil,-20263.869999999995,,
Banco do Brasil,-187041.75999999995,,
Banco do Brasil,-147153.32,,
Banco do Brasil,-11558.079999999998,,
Banco do Brasil,-7554.0299999999552,,
Banco do Brasil,-321621.02,,
Banco do Brasil,127667.40999999997,,
Banco do Brasil,45626.75,,
Banco do Brasil,-295910.2199999998,,
Banco do Brasil,-85046.179999999978,,
Banco do Brasil,-226464.08000000007,,
Banco do Brasil,-40901.320000000014,,
Banco do Brasil,3291.42,0.0,-0.017853495997685327
Banco do Brasil,15401.999999999993,,
Banco do Brasil,-16305.079999999973,,
Banco do Brasil,-99215.510000000068,,
Banco do Brasil,377726.93,,
Banco do Brasil,37242.479999999996,-42.0,
Banco do Brasil,-40542.05,,
Banco do Brasil,2164.9599999999991,,
Banco do Brasil,-34741.600000000006,-42.0,
Banco do Brasil,-108833.59000000017,,
Banco do Brasil,3228.5200000000023,,
Banco do Brasil,-85841.829999999929,,
Banco do Brasil,-83461.200000000012,,
Banco do Brasil,-1854.6499999999978,-30.0,0.014181067556297076
Banco do Brasil,-3811.4300000000221,-42.0,
Banco do Brasil,2991.1599999999889,,
Banco do Brasil,-86334.29,,
Banco do Brasil,-19039.909999999989,,
Banco do Brasil,106831.26999999999,,
Banco do Brasil,41780.98000000001,-12.0,-0.029349970102179483
Banco do Brasil,-27869.559999999998,-36.0,
Banco do Brasil,18027.019999999997,-36.0,
Banco do Brasil,-328937.92,,
Banco do Brasil,39031.4,,
Banco do Brasil,-33728.640000000014,,
Banco do Brasil,-80938.579999999973,,
Banco do Brasil,41440.169999999984,,
Banco do Brasil,-67422.640000000014,,
Banco do Brasil,-14172.24000000002,-42.0,
Banco do Brasil,-37113.989999999991,,
Banco do Brasil,-24993.239999999991,,
Banco do Brasil,-198603.51999999996,,
Banco do Brasil,-6487.58,,
Banco do Brasil,-81109.289999999979,,
Banco do Brasil,106079.99,,
Banco do Brasil,-62137.590000000055,,
Banco do Brasil,106913.90999999999,17.0,
Banco do Brasil,-27869.069999999992,-30.0,
Banco do Brasil,28366.770000000019,-30.0,
Banco do Brasil,-28367.020000000008,-30.0,
Banco do Brasil,-79238.64,-30.0,
Banco do Brasil,-22243.149999999987,,
Banco do Brasil,-75555.160000000076,,
Banco do Brasil,-83365.06,,
Banco do Brasil,-340888.31000000011,,
Banco do Brasil,40857.76999999999,,
Banco do Brasil,148425.37999999998,,
Banco do Brasil,-84507.999999999971,,
Banco do Brasil,57849.22,,
Banco do Brasil,943.86999999998625,,
Banco do Brasil,-36360.840000000004,,
Banco do Brasil,-34710.319999999992,,
Banco do Brasil,135412.85,,
Banco do Brasil,-5468.1699999999983,,
Banco do Brasil,-16030.879999999983,,
Banco do Brasil,13117.359999999986,,
Banco do Brasil,-346370.73000000004,,
Banco do Brasil,6279.9899999999616,,
Banco do Brasil,82166.02,15.0,-0.0510317352220103
Banco do Brasil,-77794.9299999999,,
Banco do Brasil,-5140.59,,
Banco do Brasil,44189.76999999999,,
Banco do Brasil,13539.849999999999,,
Banco do Brasil,63141.85,-42.0,
Banco do Brasil,-8996.9300000000221,,
Banco do Brasil,-23979.760000000009,,
Banco do Brasil,-25684.04,-18.0,
Banco do Brasil,77977.040000000008,-42.0,
Banco do Brasil,-166066.51,,
Banco do Brasil,-201161.81000000008,,
Banco do Brasil,-5866.840000000002,,
Banco do Brasil,-33184.899999999994,,
Banco do Brasil,348616.42000000004,,
Banco do Brasil,-183339.37,,
Banco do Brasil,-50410.599999999991,,
Banco do Brasil,-187768.07,,
Banco do Brasil,209861.43,17.0,
